age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
62,3,10,5,11,4,4,0,0,1617,33,38,0
52,3,9,6,13,1,4,1,0,0,40,38,0
69,3,4,2,9,0,4,1,0,0,48,38,0
33,3,13,2,3,0,4,1,0,0,55,38,1
40,3,11,5,11,1,2,1,0,0,44,38,0
52,3,9,2,11,0,4,1,0,0,60,38,1
56,4,10,2,2,0,4,1,0,0,40,38,0
28,3,9,4,7,1,4,1,0,0,60,38,0
54,3,9,2,13,0,4,1,0,0,50,38,1
48,3,13,2,2,0,4,1,0,0,55,38,0
43,6,10,2,2,0,4,1,0,0,40,38,0
30,3,13,4,7,1,4,0,0,0,40,38,0
38,3,13,3,2,1,2,1,0,0,40,5,0
37,3,13,4,2,1,4,1,0,0,40,38,0
19,3,9,4,9,3,4,1,0,0,30,38,0
36,3,9,0,2,1,4,1,0,0,40,38,0
25,3,10,4,2,3,4,1,0,0,55,38,0
21,3,10,4,6,3,4,1,0,0,40,38,0
22,3,9,0,13,1,4,1,0,0,40,38,0
21,3,9,0,11,4,0,0,0,0,38,38,0
45,4,11,0,11,4,4,0,0,0,30,38,0
56,3,7,5,7,1,2,0,0,0,40,38,0
45,3,9,2,6,0,4,1,0,0,45,38,1
37,4,10,2,3,0,4,1,0,0,60,38,1
35,3,10,4,11,1,4,1,0,0,40,38,0
45,3,9,0,3,1,4,1,13550,0,50,38,1
24,1,9,4,7,3,4,1,0,0,40,38,0
23,3,9,2,0,2,4,1,0,0,40,38,0
31,3,9,3,7,1,4,0,0,0,80,21,0
20,3,10,4,3,3,4,0,0,0,20,38,0
19,3,9,4,5,3,4,1,0,0,16,38,0
20,3,10,4,0,4,2,0,0,0,35,38,0
59,3,14,4,11,1,4,0,27828,0,45,38,1
40,1,13,2,9,0,4,1,0,0,35,38,0
43,3,9,0,11,1,4,1,0,0,20,38,0
27,3,9,4,5,3,4,0,0,0,40,38,0
33,3,9,2,11,0,4,1,0,0,40,38,0
42,3,10,2,12,0,4,1,0,0,40,38,0
29,3,11,0,3,1,4,0,0,0,40,38,0
35,3,8,4,6,4,2,0,0,0,40,38,0
34,3,9,2,2,0,4,1,3908,0,46,38,0
44,3,9,4,6,1,4,0,0,0,40,38,0
72,3,4,6,9,4,4,0,0,0,20,38,0
33,1,14,2,9,5,4,0,0,0,40,38,0
29,3,10,4,7,1,3,1,0,1590,40,38,0
28,5,13,4,9,1,2,1,0,0,50,38,1
58,3,4,0,6,3,4,1,0,0,40,38,0
27,0,13,4,13,2,4,1,0,0,35,38,0
45,1,14,2,9,0,4,1,0,0,50,38,1
45,3,9,2,0,0,4,1,0,0,7,38,0
23,3,13,4,11,1,4,0,0,0,45,38,0
32,6,9,2,10,0,4,1,0,0,40,38,0
45,3,13,2,3,0,4,1,0,0,55,38,1
39,5,9,2,3,0,4,1,0,0,40,38,0
20,3,10,4,0,3,1,0,0,0,15,38,0
43,3,10,0,2,1,4,1,0,0,40,38,0
33,3,9,4,2,3,1,1,0,0,40,38,0
23,6,13,4,9,1,4,1,10520,0,40,38,1
28,3,9,2,9,5,4,0,0,0,17,15,0
40,3,16,2,3,0,1,1,3103,0,40,18,1
74,3,9,6,9,1,4,0,0,0,10,38,0
35,3,11,2,2,0,4,1,0,0,50,38,0
21,3,9,4,7,3,4,0,0,0,19,38,0
50,3,4,2,13,0,4,1,0,1579,65,1,0
40,3,9,6,6,3,4,0,0,0,30,38,0
55,3,10,0,6,1,4,0,0,0,40,38,0
21,3,10,4,0,1,4,0,0,0,40,38,0
48,3,6,2,0,5,4,0,0,0,40,38,0
56,4,16,2,9,0,4,1,99999,0,70,38,1
51,5,9,2,13,0,4,1,0,0,35,38,1
31,3,9,2,0,0,4,1,0,0,50,38,0
36,3,9,2,2,0,4,1,5013,0,40,21,0
27,3,9,4,11,3,0,1,0,0,20,38,0
61,3,10,0,7,1,2,1,0,0,40,38,0
32,3,9,2,2,0,4,1,0,0,40,38,0
38,3,13,2,9,5,4,0,15024,0,40,38,1
22,3,9,4,6,1,4,1,0,0,42,38,0
37,3,9,2,9,0,4,1,0,0,40,38,1
43,4,9,2,2,0,4,1,0,0,60,38,0
20,3,10,4,9,3,4,0,0,0,20,38,0
58,3,9,6,11,1,4,0,0,0,35,38,1
32,3,13,4,9,4,4,0,0,0,40,38,0
30,3,9,4,2,1,4,1,0,0,40,38,0
30,3,9,0,0,1,4,0,0,0,40,38,0
65,3,13,2,3,0,4,1,0,0,40,38,1
38,3,13,2,2,0,4,1,0,0,45,38,0
47,0,10,0,0,4,2,0,0,0,40,38,0
27,3,13,4,9,1,4,0,0,0,55,38,0
24,4,9,4,7,1,2,1,13550,0,50,38,1
50,5,4,2,4,0,4,1,0,0,40,38,0
36,3,9,2,2,0,4,1,0,0,40,38,0
34,3,10,4,7,1,4,1,0,0,50,38,0
34,3,9,2,5,0,2,1,0,0,40,38,0
